percentage,Unnamed: 1,percentage.1,ket,elapsed_time,gpu_used,dataset,experiment,file_path,subset_percentage_file
30,3,,Total,578.7793617248535,478.67626953125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-bilstm\summary_efficiency_30.csv,30
40,0,40.0,Dataloader,385.2520155906677,503.58349609375,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-bilstm\summary_efficiency_40.csv,40
40,1,40.0,Train,484.7199366092682,479.48095703125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-bilstm\summary_efficiency_40.csv,40
40,2,40.0,Test,10.011776685714722,478.67626953125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-bilstm\summary_efficiency_40.csv,40
40,3,,Total,879.9837288856506,478.67626953125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-bilstm\summary_efficiency_40.csv,40
50,0,50.0,Dataloader,461.3754551410675,503.58349609375,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-bilstm\summary_efficiency_50.csv,50
50,1,50.0,Train,733.3447663784027,479.48095703125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-bilstm\summary_efficiency_50.csv,50
50,2,50.0,Test,15.369965553283691,478.67626953125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-bilstm\summary_efficiency_50.csv,50
50,3,,Total,1210.090187072754,478.67626953125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-bilstm\summary_efficiency_50.csv,50
60,0,60.0,Dataloader,569.2316763401031,503.58349609375,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-bilstm\summary_efficiency_60.csv,60
60,1,60.0,Train,1026.189619064331,479.48095703125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-bilstm\summary_efficiency_60.csv,60
60,2,60.0,Test,20.993715286254883,478.67626953125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-bilstm\summary_efficiency_60.csv,60
60,3,,Total,1616.415010690689,478.67626953125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-bilstm\summary_efficiency_60.csv,60
70,0,70.0,Dataloader,659.5487334728241,503.58349609375,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-bilstm\summary_efficiency_70.csv,70
70,1,70.0,Train,1377.1104102134705,479.48095703125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-bilstm\summary_efficiency_70.csv,70
70,2,70.0,Test,27.960182189941406,478.67626953125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-bilstm\summary_efficiency_70.csv,70
70,3,,Total,2064.619325876236,478.67626953125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-bilstm\summary_efficiency_70.csv,70
80,0,80.0,Dataloader,755.4062478542328,522.33837890625,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-bilstm\summary_efficiency_80.csv,80
80,1,80.0,Train,1790.1707046031952,479.48095703125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-bilstm\summary_efficiency_80.csv,80
80,2,80.0,Test,35.99809527397156,478.67626953125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-bilstm\summary_efficiency_80.csv,80
80,3,,Total,2581.5750477313995,478.67626953125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-bilstm\summary_efficiency_80.csv,80
90,0,90.0,Dataloader,861.655873298645,522.33837890625,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-bilstm\summary_efficiency_90.csv,90
90,1,90.0,Train,2243.163592338562,479.48095703125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-bilstm\summary_efficiency_90.csv,90
90,2,90.0,Test,44.82562160491944,478.67626953125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-bilstm\summary_efficiency_90.csv,90
90,3,,Total,3149.6450872421265,478.67626953125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-bilstm,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-bilstm\summary_efficiency_90.csv,90
10,0,10.0,Dataloader,99.82407069206238,503.58349609375,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_10.csv,10
10,1,10.0,Train,38.94564700126648,476.81640625,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_10.csv,10
10,2,10.0,Test,0.9885308742523192,476.7578125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_10.csv,10
10,3,,Total,139.75824856758118,476.7578125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_10.csv,10
100,0,100.0,Dataloader,927.6197168827056,522.33837890625,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_100.csv,100
100,1,100.0,Train,2655.896884441376,476.81640625,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_100.csv,100
100,2,100.0,Test,54.45620346069336,476.7578125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_100.csv,100
100,3,,Total,3637.972804784775,476.7578125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_100.csv,100
20,0,20.0,Dataloader,182.6316442489624,503.58349609375,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_20.csv,20
20,1,20.0,Train,128.0379180908203,476.81640625,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_20.csv,20
20,2,20.0,Test,2.9152278900146484,476.7578125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_20.csv,20
20,3,,Total,313.58479022979736,476.7578125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_20.csv,20
30,0,30.0,Dataloader,285.1864264011383,503.58349609375,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_30.csv,30
30,1,30.0,Train,265.7202877998352,476.81640625,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_30.csv,30
30,2,30.0,Test,5.8163979053497314,476.7578125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_30.csv,30
30,3,,Total,556.7231121063232,476.7578125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_30.csv,30
40,0,40.0,Dataloader,372.61313939094543,503.58349609375,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_40.csv,40
40,1,40.0,Train,453.74253010749817,476.81640625,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_40.csv,40
40,2,40.0,Test,9.739225149154665,476.7578125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_40.csv,40
40,3,,Total,836.0948946475983,476.7578125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_40.csv,40
50,0,50.0,Dataloader,460.47225522995,503.58349609375,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_50.csv,50
50,1,50.0,Train,688.764580488205,476.81640625,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_50.csv,50
50,2,50.0,Test,14.91278862953186,476.7578125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_50.csv,50
50,3,,Total,1164.1496243476868,476.7578125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_50.csv,50
60,0,60.0,Dataloader,559.9540164470673,503.58349609375,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_60.csv,60
60,1,60.0,Train,979.8944673538208,476.81640625,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_60.csv,60
60,2,60.0,Test,20.560702562332157,476.7578125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_60.csv,60
